abs;nom;essence
437.0;Bruyères-Paisy (Station d'Essence, Aire de Repos, WC, Restaurant);1
426.0;Chères Est (Station d'Essence, Aire de Repos, WC, Restaurant);1
417.0;Villefranche-Limas Est (Aire de Repos, Toilettes, Poste de Péage);0
410.0;Boitray (Aire de Repos, Toilettes, Restaurant);0
398.0;Taponas (Station d'Essence, Aire de Repos, WC, Restaurant);1
387.0;Sablons (Aire de Repos, Toilettes);0
364.0;Mâcon-la-Salle (Station d'Essence, Aire de Repos, WC, Restaurant, Hotel);1
355.0;Uchizy (Aire de Repos, Toilettes);0
342.0;Boyer (Aire de Repos, Toilettes);0
332.0;Saint-Ambreuil (Station d'Essence, Aire de Repos, WC, Restaurant);1
313.0;Loyère (Aire de Repos, Toilettes);0
300.0;Beaune-Merceuil (Station d'Essence, Aire de Repos, WC, Restaurant, Shop, Hotel);1
289.0;Savigny-lès-Beaune (Aire de Repos, Toilettes);0
284.0;Bois des Corbeaux (Aire de Repos, Toilettes);0
276.0;Creux-Moreau (Station d'Essence, Aire de Repos, WC, Restaurant, ATM);1
259.0;Repotte (Aire de Repos, Toilettes);0
245.0;Lochères (Station d'Essence, Aire de Repos, WC, Restaurant);1
232.0;Marcigny (Aire de Repos);0
223.0;Côme (Aire de Repos, Toilettes);0
210.0;Genetoy (Aire de Repos, Toilettes);0
203.0;Maison-Dieu (Station d'Essence, Aire de Repos, WC, Restaurant, Shop);1
189.0;Hervaux (Aire de Repos, Toilettes);0
175.0;Chevreuil (Aire de Repos, Toilettes);0
169.0;Buisson Rond (Aire de Repos, Toilettes);0
157.0;Venoy Soleil Levant (Station d'Essence, Aire de Repos, WC, Restaurant, Hotel);1
149.0;Thureau (Aire de Repos, Toilettes);0
135.0;Pâtures (Aire de Repos, Toilettes);0
123.0;Loupière (Aire de Repos, Toilettes);0
113.0;Couline (Station d'Essence, Aire de Repos, WC, Restaurant);1
93.0;Roche (Aire de Repos, Toilettes, Poste de Péage);0
81.0;Égreville ((Aire de Repos, Toilettes);0
76.0;Floée (Aire de Repos, Toilettes);0
64.0;Darvault (Station d'Essence, Aire de Repos, WC, Restaurant);1
48.0;Achères (Station d'Essence, Aire de Repos, WC);1
42.0;Arbonne (Aire de Repos, Toilettes);0
40.0;Fleury-en-Bière (Aire de Repos, Toilettes, Poste de Péage);0
32.0;Soleil (Aire de Repos);0
20.0;Villabé (Station d'Essence, Aire de Repos, WC, Restaurant);1